T;Cp;S
100;29.106;173.307
200;29.126;193.485
250;29.201;199.99
298.15;29.376;205.147
300;29.385;205.329
350;29.694;209.88
400;30.106;213.871
450;30.584;217.445
500;31.091;220.693
600;32.09;226.451
700;32.981;231.466
800;33.733;235.921
900;34.355;239.931
1000;34.87;243.578
1100;35.3;246.922
1200;35.667;250.01
1300;35.988;252.878
1400;36.277;255.556
1500;36.544;258.068
1600;36.796;260.434
1700;37.04;262.672
1800;37.277;264.796
1900;37.51;266.818
2000;37.741;268.748
2100;37.969;270.595
2200;38.195;272.366
2300;38.419;274.069
2400;38.639;275.709
2500;38.856;277.29
2600;39.068;278.819
2700;39.276;280.297
2800;39.478;281.729
2900;39.674;283.118
3000;39.864;284.466
3100;40.048;285.776
3200;40.225;287.05
3300;40.395;288.291
3400;40.559;289.499
3500;40.716;290.677
3600;40.868;291.826
3700;41.013;292.948
3800;41.154;294.044
3900;41.289;295.115
4000;41.421;296.162
4100;41.549;297.186
4200;41.674;298.189
4300;41.798;299.171
4400;41.92;300.133
4500;42.042;301.076
4600;42.164;302.002
4700;42.287;302.91
4800;42.413;303.801
4900;42.542;304.677
5000;42.675;305.538
5100;42.813;306.385
5200;42.956;307.217
5300;43.105;308.037
5400;43.262;308.844
5500;43.426;309.639
5600;43.599;310.424
5700;43.781;311.197
5800;43.973;311.96
5900;44.175;312.713
6000;44.387;313.457
